YEAR,COUNTRY,POPULATION,DEATHS,HOMICIDES,SUICIDES,FIREARMS,HOMICIDES-F,SUICIDES-F,ACCIDENTS-F,UND-F,LEGAL-INT-F
2010,USA," 310,233,000 "," 2,465,932 "," 16,065 "," 37,793 "," 31,513 "," 11,015 "," 19,308 ", 600 , 246 , 344 
2009,USA," 307,007,000 "," 2,437,163 "," 16,799 "," 36,909 "," 31,347 "," 11,493 "," 18,735 ", 554 , 232 , 333 
2008,USA," 304,375,000 "," 2,471,984 "," 17,837 "," 35,933 "," 31,593 "," 12,179 "," 18,223 ", 592 , 273 , 326 
2007,USA," 301,580,000 "," 2,423,712 "," 18,361 "," 34,598 "," 31,224 "," 12,632 "," 17,352 ", 613 , 276 , 351 
2006,USA," 298,593,000 "," 2,426,264 "," 18,573 "," 33,300 "," 30,896 "," 12,791 "," 16,883 ", 642 , 220 , 360 
2005,USA," 296,186,000 "," 2,448,017 "," 18,124 "," 32,637 "," 30,694 "," 12,352 "," 17,002 ", 789 , 221 , 330 
2004,USA," 293,463,000 "," 2,397,615 "," 17,357 "," 32,439 "," 29,569 "," 11,624 "," 16,750 ", 649 , 235 , 311 
2003,USA," 290,820,000 "," 2,448,288 "," 17,732 "," 31,484 "," 30,136 "," 11,920 "," 16,907 ", 730 , 232 , 347 
2002,USA," 288,105,000 "," 2,443,387 "," 17,638 "," 31,655 "," 30,242 "," 11,829 "," 17,108 ", 762 , 243 , 300 
2001,USA," 285,309,000 "," 2,416,425 "," 20,308 "," 30,622 "," 29,573 "," 11,348 "," 16,869 ", 802 , 231 , 323 
2000,USA," 282,385,000 "," 2,403,351 "," 16,765 "," 29,350 "," 28,663 "," 10,801 "," 16,586 ", 776 , 230 , 270 
1999,USA," 279,295,000 "," 2,391,399 "," 16,899 "," 29,199 "," 28,874 "," 10,828 "," 16,599 ", 824 , 324 , 299 
1998,USA," 276,115,000 "," 2,337,256 "," 18,272 "," 30,575 "," 30,708 "," 12,102 "," 17,424 ", 866 , 316 , -   
1997,USA," 272,912,000 "," 2,314,245 "," 19,846 "," 30,535 "," 32,436 "," 13,522 "," 17,566 ", 981 , 367 , -   
2010,GB," 62,300,000 "," 493,242 ", 642 ,,, 55 ,,,,
