YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW-HAMPSHIRE,NEW-JERSEY,NEW-MEXICO,NEW-YORK,NORTH-CAROLINA,NORTH-DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE-ISLAND,SOUTH-CAROLINA,SOUTH-DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST-VIRGINIA,WISCONSIN,WYOMING,US-AVG,MEAN,STDDEV,POP1STDDEV,2XSTDDEV,POP2STDDEV,CV,MI-DIFF,FL-DIFF,TX-DIFF
1960,12.42829243,10.16947654,5.990042706,8.509342362,3.919272156,4.162041384,1.617207721,7.394262053,10.64311045,11.89414666,2.370522084,2.398113883,4.850633231,4.375336997,0.616492181,2.937651559,6.747513953,8.289781279,1.650735351,5.418150611,1.437290063,4.512223524,1.23027748,10.0085348,4.375189389,3.853181913,2.338219977,8.763381684,1.318128719,2.703245312,7.360494962,,10.57909575,0.474348798,3.204072531,7.473315111,2.431182001,2.614987447,1.047135039,13.1789134,2.057268476,8.466287216,8.60154262,1.010524047,0.256488518,12.27643713,2.137939881,4.353853241,1.265253581,4.847515345,353,5.1134,3.6666,66%,7.3332,98%,72%,5.5297,3.8832,3.4881
1961,12.93155663,11.53846154,6.038820992,9.070673344,3.689699335,4.6603032,0.956388676,4.366812227,9.134431252,10.03260597,2.283105023,2.046783626,4.79625658,4.07556782,1.295430011,1.868732908,6.534460338,6.35350798,1.612903226,4.485570891,1.471150172,4.098566759,0.979827089,10.33860045,5.093650069,2.492668622,2.375960867,7.023411371,0.644122383,2.450352338,6.815869786,,9.189423494,0.9375,3.098420413,5.042372881,2.668148972,2.598535054,1.038062284,11.63273785,1.739130435,8.022130014,8.050674295,1.746724891,1.518987342,8.598176891,2.170916609,4.432432432,1.566384883,3.25443787,326,4.6706,3.307,66%,6.614,94%,71%,0.5721,3.6908,3.38
1962,9.410363311,4.471544715,5.699138502,7.899067471,3.871538008,5.03408495,1.309202926,4.264392324,7.693716798,10.29268293,2.886002886,3.008595989,5.292726198,3.541887593,1.116312568,2.839116719,6.52173913,6.756756757,1.401401401,5.734879348,1.840728541,3.441371543,0.949640288,7.295373665,5.545329038,2.115655853,1.549865229,8.059701493,2.373417722,2.994395516,6.274509804,,7.884168252,1.246105919,3.179162127,5.147058824,2.896995708,2.733825598,0.809248555,10.13957307,3.328710125,6.053935058,7.216291024,2.275077559,0.256410256,8.666507062,2.46174318,3.72250423,0.904203324,3.287671233,275,4.3611,2.6511,62%,5.3022,96%,61%,0.9197,3.4115,2.8552
1963,10.15835076,6.451612903,5.965362412,7.373519914,3.826037521,4.793472718,1.762940735,5.042016807,8.191790517,9.420289855,1.729106628,2.52454418,5.136515419,2.76949297,1.258992806,2.561797753,5.557350565,6.875365711,1.934826884,6.293706294,1.935607512,3.486939379,1.171428571,7.161572052,5.152495379,1.98019802,1.98630137,7.880434783,3.189792663,2.797527048,5.599214145,,8.214285714,2.050473186,3.007962253,5.186972256,3.012048193,2.345938375,1.355932203,10.0281917,1.221166893,6.469951272,7.362200911,2.441505595,0.512820513,7.088432233,2.491803279,5.343082115,1.723713371,3.560830861,283,4.3956,2.5816,64%,5.1631,96%,59%,0.9087,3.2242,2.9666
1964,9.275022014,10.4,5.249841872,7.604759441,4.092015041,4.170905392,1.771511208,4.684317719,8.571428571,11.71401956,2.139800285,4.046242775,5.453332062,3.046632124,1.269956459,3.370786517,5.191516303,8.275663206,1.516683519,6.672494172,1.96702885,3.507038775,1.448452144,10.06914434,5.443411204,2.695035461,2.297297297,7.843137255,0.917431193,3.097874888,5.555555556,,8.037922506,0.930232558,3.465346535,4.462474645,1.817210048,3.351077755,1.203501094,8.062622309,1.258741259,5.924170616,7.550254881,1.512096774,0.488997555,8.382823207,2.412868633,3.728436283,1.46092038,5.539358601,284,4.5499,2.9009,56%,5.8018,96%,64%,1.0429,3.1015,3.0003
1965,11.40958983,6.324110672,4.975124378,5.867346939,4.730674121,3.504316912,1.624293785,5.742574257,8.923341947,11.26922194,3.23488045,2.023121387,5.176625329,3.541453429,1.304347826,2.685765443,5.284680717,8.064516129,2.114803625,6.706450696,2.412116679,4.599659284,1.406865504,8.918569582,6.671114076,1.699716714,2.437373053,8.409090909,2.69058296,3.232949513,6.316812439,4.625684723,8.343508344,0.920245399,3.572474378,4.43190975,3.422854134,3.567708333,2.065217391,9.638080252,1.564722617,7.984395319,7.515875272,1.515151515,0.503778338,8.189365044,2.240802676,3.973509934,1.544401544,2.941176471,378,4.6373,2.8157,60%,5.6314,96%,61%,0.0376,3.2304,2.8786
1966,10.91839636,12.86764706,6.056860321,7.109974425,4.588222857,3.995953465,1.982608696,8.984375,10.30129608,11.30298273,2.924791086,3.025936599,6.948330535,4.005693371,1.565344012,3.466666667,7.005969211,9.852900361,2.238046796,7.030168835,2.377856214,4.95581562,2.20917226,9.669101848,5.434782609,2.849002849,1.785714286,10.57268722,1.908957416,3.479269353,6.26223092,4.830759119,9.18,1.846153846,4.483260553,5.492270138,2.710997442,3.263685028,1.44766147,11.63959783,1.46627566,7.828998197,9.142485119,1.984126984,1.481481481,8.076325716,2.516778523,4.236343367,1.922614756,4.863221884,415,5.3218,3.2608,58%,6.5216,98%,61%,0.366,3.1126,3.8207
1967,11.72316384,9.558823529,5.569155447,8.790650407,5.424737639,4.101265823,2.393162393,8.58778626,10.5087573,11.11111111,2.435723951,4.291845494,7.279904526,3.76,1.525608427,3.956043956,7.212292255,9.311851447,0.411099692,7.957631722,2.84080428,6.523765144,1.619207147,8.688245315,7.321312188,2.42510699,2.717770035,10.81081081,2.040816327,3.941168071,6.580259222,5.431937173,9.902565122,0.156494523,5.211321476,6.653306613,3.051525763,3.852437871,2.222222222,11.19661408,3.709198813,8.915724563,9.87211335,2.734375,3.117505995,9.060846561,3.109815355,4.616240267,1.909763667,4.761904762,560,5.6181,3.1827,60%,6.3655,100%,57%,0.9056,3.9989,4.254
1968,11.80594504,10.46931408,6.28742515,8.10139165,5.983039384,5.37109375,2.467049679,8.426966292,11.86688312,13.86224935,2.827763496,2.269503546,8.13741571,4.795737123,1.746724891,3.734259661,8.919170022,9.485530547,2.962206333,9.315943572,3.457789222,7.654462243,2.221612726,9.906063194,8.817808515,3.318903319,2.296450939,5.518763797,1.424501425,5.057925968,6.403940887,6.542262463,10.24342746,1.12,5.30639222,6.433677522,3.187250996,4.055669399,2.409638554,13.59583952,3.805175038,8.677062374,10.59970835,2.901353965,2.606635071,10.28931912,3.601953602,5.484764543,2.183717066,6.349206349,669,6.0861,3.3916,60%,6.7832,96%,56%,1.5683,3.8645,4.5136
1969,13.7354857,10.63829787,6.024808033,9.874686717,7.128529548,5.333333333,2.866666667,7.962962963,11.33144476,11.87244128,3.400503778,1.949860724,8.599619806,4.982415006,1.402373247,3.489875054,10.3960396,9.506008011,1.63599182,9.296148738,3.493689409,8.783937942,1.864864865,8.125264494,10.42786498,3.602305476,2.48447205,8.971553611,2.510460251,5.162283156,6.338028169,7.226679766,11.29682997,0.162601626,6.378026071,5.763239875,3.986220472,4.134542066,3.073545554,12.48142645,1.972685888,9.585947302,11.34352373,2.488038278,2.505694761,7.303491112,3.644914756,5.607476636,2.055279943,10.3125,770,6.2903,3.5531,56%,7.1062,98%,56%,2.4936,4.4254,5.0532
1970,11.7299839,12.24464131,9.478234476,10.13885025,6.896159771,6.206793131,3.495792023,7.662779327,12.66672391,15.2955339,3.636774545,4.628279066,9.591526921,4.871315442,1.911476683,4.757519883,11.08932936,11.69308132,1.509566121,9.229045796,3.462719518,9.363292715,1.971054927,11.50248634,10.66832229,3.168161703,2.965377199,8.798169981,2.033399261,5.747636354,9.645669291,7.938104772,11.74720719,0.4856247,6.562137481,5.900159148,4.638074769,5.401093056,3.158815781,14.55308518,3.752305792,8.817164624,11.60235798,3.398557312,1.349127115,10.39046194,3.51991937,6.249150775,1.991881724,5.715729688,831,6.9046,3.8347,64%,7.6694,98%,56%,2.4587,4.9336,4.6977
