Year,State, Population , Total Homicides , Total Checks , Background Check Rate , Homicide Rate ,F-Homicide Rate,Firearm Death Rate,,,,,,,,, -   , 300 ,,0
1999,California," 33,145,121.00 "," 2,005.00 "," 883,144.00 "," 2,664 ", 6.05 , 4.16 , 9.20 ,,,,,,,,, 300.00 , 600 ,,18
1999,Texas," 20,044,141.00 "," 1,217.00 "," 710,025.00 "," 3,542 ", 6.07 , 3.96 , 10.52 ,,,,,,,,, 600.00 , 900 ,,
1999,Pennsylvania," 11,994,016.00 ", 592.00 ," 541,555.00 "," 4,515 ", 4.94 , 3.57 , 9.76 ,,,,,,,,, 900.00 ," 1,200 ",,
1999,Illinois," 12,128,370.00 ", 939.00 ," 484,848.00 "," 3,998 ", 7.74 , 5.68 , 9.75 ,,,,,,, 300.00 ,," 1,200.00 "," 1,500 ",,11
1999,Georgia," 7,788,240.00 ", 583.00 ," 409,810.00 "," 5,262 ", 7.49 , 5.62 , 13.88 ,,,,,,," 10,460.19 ",," 1,500.00 "," 1,800 ",,13
1999,North Carolina," 7,650,789.00 ", 552.00 ," 309,707.00 "," 4,048 ", 7.21 , 5.92 , 13.62 ,,,,,,,,," 1,800.00 "," 2,100 ",,16
1999,Michigan," 9,863,775.00 ", 695.00 ," 307,769.00 "," 3,120 ", 7.05 , 5.21 , 10.71 ,,,,,,,,," 2,100.00 "," 2,400 ",,14
1999,Ohio," 11,256,654.00 ", 397.00 ," 297,597.00 "," 2,644 ", 3.53 , 2.27 , 8.17 ,,,,,,,,," 2,400.00 "," 2,700 ",,25
1999,Florida," 15,111,244.00 ", 859.00 ," 279,700.00 "," 1,851 ", 5.68 , 3.61 , 11.28 ,,,,,,,,," 2,700.00 "," 3,000 ",,40
1999,Tennessee," 5,483,535.00 ", 391.00 ," 264,214.00 "," 4,818 ", 7.13 , 5.22 , 15.05 ,,,,,,, -   ,," 3,000.00 "," 3,300 ",,46
1999,Colorado," 4,056,133.00 ", 185.00 ," 257,308.00 "," 6,344 ", 4.56 , 2.59 , 10.21 ,,,,,,,,," 3,300.00 "," 3,600 ",,53
1999,Kentucky," 3,960,825.00 ", 203.00 ," 248,212.00 "," 6,267 ", 5.13 , 3.59 , 13.03 ,,,,,,,,," 3,600.00 "," 3,900 ",,40
1999,Alabama," 4,369,862.00 ", 345.00 ," 246,756.00 "," 5,647 ", 7.89 , 6.71 , 17.74 ,,,,,,,,," 3,900.00 "," 4,200 ",,37
1999,Virginia," 6,872,912.00 ", 392.00 ," 208,554.00 "," 3,034 ", 5.70 , 4.07 , 11.64 ,,,,,,,,," 4,200.00 "," 4,500 ",,23
1999,Missouri," 5,468,338.00 ", 359.00 ," 206,636.00 "," 3,779 ", 6.57 , 4.46 , 12.25 ,,,,,,,,," 4,500.00 "," 4,800 ",,27
1999,Indiana," 5,942,901.00 ", 391.00 ," 203,182.00 "," 3,419 ", 6.58 , 4.56 , 11.09 ,,,,,,,,," 4,800.00 "," 5,100 ",,23
1999,Louisiana," 4,372,035.00 ", 468.00 ," 196,015.00 "," 4,483 ", 10.70 , 7.78 , 17.25 ,,,,,,,,," 5,100.00 "," 5,400 ",,17
1999,New York," 18,196,601.00 ", 903.00 ," 186,627.00 "," 1,026 ", 4.96 , 2.95 , 5.42 ,,,,,,,,," 5,400.00 "," 5,700 ",,20
1999,Arkansas," 2,551,373.00 ", 143.00 ," 184,616.00 "," 7,236 ", 5.60 , 4.62 , 14.58 ,,,,,,,,," 5,700.00 "," 6,000 ",,17
1999,Mississippi," 2,768,619.00 ", 213.00 ," 182,114.00 "," 6,578 ", 7.69 , 7.73 , 17.92 ,,,,,,,,," 6,000.00 "," 6,300 ",,14
1999,Wisconsin," 5,250,446.00 ", 179.00 ," 179,340.00 "," 3,416 ", 3.41 , 2.27 , 7.96 ,,,,,,,,," 6,300.00 "," 6,600 ",,13
1999,Minnesota," 4,775,508.00 ", 134.00 ," 177,929.00 "," 3,726 ", 2.81 , 1.07 , 5.84 ,,,,,,,,," 6,600.00 "," 6,900 ",,10
1999,Arizona," 4,778,332.00 ", 384.00 ," 173,548.00 "," 3,632 ", 8.04 , 6.24 , 16.91 ,,,,,,,,," 6,900.00 "," 7,200 ",,7
1999,Oklahoma," 3,358,044.00 ", 231.00 ," 169,436.00 "," 5,046 ", 6.88 , 4.47 , 14.35 ,,,,,,,,," 7,200.00 "," 7,500 ",,14
1999,Oregon," 3,316,154.00 ", 88.00 ," 160,358.00 "," 4,836 ", 2.65 , 1.81 , 11.13 ,,,,,,,,," 7,500.00 "," 7,800 ",,3
1999,South Carolina," 3,885,736.00 ", 258.00 ," 145,493.00 "," 3,744 ", 6.64 , 5.74 , 13.72 ,,,,,,,,," 7,800.00 "," 8,100 ",,3
1999,West Virginia," 1,806,928.00 ", 79.00 ," 134,471.00 "," 7,442 ", 4.37 , 2.55 , 11.90 ,,,,,,,,," 8,100.00 "," 8,400 ",,6
1999,Washington," 5,756,361.00 ", 171.00 ," 133,674.00 "," 2,322 ", 2.97 , 1.88 , 9.88 ,,,,,,,,," 8,400.00 "," 8,700 ",,1
1999,Kansas," 2,654,052.00 ", 160.00 ," 106,108.00 "," 3,998 ", 6.03 , 3.05 , 9.31 ,,,,,,, 20.00 ,," 8,700.00 "," 9,000 ",,4
1999,New Mexico," 1,739,844.00 ", 170.00 ," 94,406.00 "," 5,426 ", 9.77 , 5.23 , 15.58 ,,,,,,,,," 9,000.00 "," 9,300 ",,4
1999,Iowa," 2,869,413.00 ", 43.00 ," 92,222.00 "," 3,214 ", 1.50 , 0.73 , 6.31 ,,,,,,,,," 9,300.00 "," 9,600 ",,2
1999,Maryland," 5,171,634.00 ", 465.00 ," 91,381.00 "," 1,767 ", 8.99 , 7.64 , 12.53 ,,,,,,,,," 9,600.00 "," 9,900 ",,0
1999,Connecticut," 3,282,031.00 ", 107.00 ," 87,209.00 "," 2,657 ", 3.26 , 2.44 , 5.79 ,,,,,,,,," 9,900.00 "," 10,200 ",,
1999,Idaho," 1,251,700.00 ", 25.00 ," 79,914.00 "," 6,384 ", 2.00 , 0.88 , 10.87 ,,,,,,,,," 10,200.00 "," 10,500 ",,1
1999,Utah," 2,129,836.00 ", 44.00 ," 77,718.00 "," 3,649 ", 2.07 , 1.08 , 8.26 ,,,,,,,,," 10,500.00 "," 10,800 ",,0
1999,Montana," 882,779.00 ", 22.00 ," 73,027.00 "," 8,272 ", 2.49 , 1.70 , 12.12 ,,,,,,,,," 10,800.00 "," 11,100 ",,0
1999,Nevada," 1,809,253.00 ", 165.00 ," 62,375.00 "," 3,448 ", 9.12 , 5.03 , 19.35 ,,,,,,,,," 11,100.00 "," 11,400 ",,0
1999,Nebraska," 1,666,028.00 ", 60.00 ," 47,959.00 "," 2,879 ", 3.60 , 1.74 , 8.04 ,,,,,,,,," 11,400.00 "," 11,700 ",,0
1999,Maine," 1,253,040.00 ", 25.00 ," 47,160.00 "," 3,764 ", 2.00 , -   , 6.94 ,,,,,,,,," 11,700.00 "," 12,000 ",,0
1999,Alaska," 619,500.00 ", 52.00 ," 43,073.00 "," 6,953 ", 8.39 , 4.04 , 12.91 ,,,,,,,,," 12,000.00 "," 12,300 ",,0
1999,New Jersey," 8,143,412.00 ", 287.00 ," 38,601.00 ", 474 , 3.52 , 1.78 , 4.18 ,,,,,,,,," 12,300.00 "," 12,600 ",,0
1999,New Hampshire," 1,201,134.00 ", 18.00 ," 37,711.00 "," 3,140 ", 1.50 , -   , 4.08 ,,,,,,,,," 12,600.00 "," 12,900 ",,0
1999,Wyoming," 479,602.00 ", 11.00 ," 35,476.00 "," 7,397 ", 2.29 , -   , 11.26 ,,,,,,,,," 12,900.00 "," 13,200 ",,0
1999,South Dakota," 733,133.00 ", 18.00 ," 31,327.00 "," 4,273 ", 2.46 , -   , 7.09 ,,,,,,,,," 13,200.00 "," 13,500 ",,0
1999,North Dakota," 633,666.00 ", 10.00 ," 29,864.00 "," 4,713 ", 1.58 , -   , 6.15 ,,,,,,,,," 13,500.00 "," 13,800 ",,0
1999,Massachusetts," 6,175,169.00 ", 122.00 ," 24,314.00 ", 394 , 1.98 , 0.97 , 2.88 ,,,,,,,,," 13,800.00 "," 14,100 ",,0
