YEAR,CITY,POPULATION,HOMICIDES,HOMICIDE-RATE
1985,NEW YORK,7183984,1384,19.27
1986,NEW YORK,7179609,1582,22.03
1987,NEW YORK,7284319,1672,22.95
1988,NEW YORK,7346352,1896,25.81
1989,NEW YORK,7369454,1905,25.85
1990,NEW YORK,7322564,2245,30.66
1991,NEW YORK,7350023,2154,29.31
1992,NEW YORK,7375097,1995,27.05
1993,NEW YORK,7347257,1946,26.49
1994,NEW YORK,7336224,1561,21.28
1995,NEW YORK,7319546,1177,16.08
1996,NEW YORK,7339594,983,13.39
1997,NEW YORK,7320477,770,10.52
1998,NEW YORK,7357745,633,8.60
1999,NEW YORK,7429263,664,8.94
2000,NEW YORK,8008278,673,8.40
2001,NEW YORK,8023018,714,8.90
2002,NEW YORK,8084693,587,7.26
2003,NEW YORK,8098066,597,7.37
2004,NEW YORK,8101321,570,7.04
2005,NEW YORK,8115690,539,6.64
2006,NEW YORK,8165001,596,7.30
2007,NEW YORK,8220196,496,6.03
2008,NEW YORK,8345075,523,6.27
2009,NEW YORK,8400907,471,5.61
2010,NEW YORK,8175133,536,6.56
1985,LOS ANGELES,3186459,777,24.38
1986,LOS ANGELES,3260856,834,25.58
1987,LOS ANGELES,3341726,811,24.27
1988,LOS ANGELES,3402342,736,21.63
1989,LOS ANGELES,3441449,877,25.48
1990,LOS ANGELES,3485398,983,28.20
1991,LOS ANGELES,3558316,1027,28.86
1992,LOS ANGELES,3615355,1094,30.26
1993,LOS ANGELES,3525317,1076,30.52
1994,LOS ANGELES,3550381,845,23.80
1995,LOS ANGELES,3466211,849,24.49
1996,LOS ANGELES,3498139,711,20.33
1997,LOS ANGELES,3541309,576,16.27
1998,LOS ANGELES,3621680,426,11.76
1999,LOS ANGELES,3650138,425,11.64
2000,LOS ANGELES,3694820,550,14.89
2001,LOS ANGELES,3763486,588,15.62
2002,LOS ANGELES,3830561,654,17.07
2003,LOS ANGELES,3838838,515,13.42
2004,LOS ANGELES,3864018,518,13.41
2005,LOS ANGELES,3871077,489,12.63
2006,LOS ANGELES,3879455,480,12.37
2007,LOS ANGELES,3870487,395,10.21
2008,LOS ANGELES,3850920,384,9.97
2009,LOS ANGELES,3848776,312,8.11
2010,LOS ANGELES,3792621,293,7.73
1985,CHICAGO,3005415,666,22.16
1986,CHICAGO,3004847,744,24.76
1987,CHICAGO,3005655,691,22.99
1988,CHICAGO,3005464,660,21.96
1989,CHICAGO,3005265,742,24.69
1990,CHICAGO,2784314,852,30.60
1991,CHICAGO,2783784,927,33.30
1992,CHICAGO,2784360,940,33.76
1993,CHICAGO,2784109,855,30.71
1994,CHICAGO,2784091,931,33.44
1995,CHICAGO,2784129,828,29.74
1996,CHICAGO,2784190,796,28.59
1997,CHICAGO,2784486,761,27.33
1998,CHICAGO,2783709,704,25.29
1999,CHICAGO,2783550,643,23.10
2000,CHICAGO,2896386,633,21.85
2001,CHICAGO,2896386,667,23.03
2002,CHICAGO,2896386,656,22.65
2003,CHICAGO,2896386,601,20.75
2004,CHICAGO,2895408,454,15.68
2005,CHICAGO,2896596,451,15.57
2006,CHICAGO,2896679,471,16.26
2007,CHICAGO,2895250,445,15.37
2008,CHICAGO,2896825,511,17.64
2009,CHICAGO,2846710,453,15.91
2010,CHICAGO,2846710,436,15.32
1985,HOUSTON,1746375,457,26.17
1986,HOUSTON,1779677,408,22.93
1987,HOUSTON,1739999,323,18.56
1988,HOUSTON,1725421,440,25.50
1989,HOUSTON,1713499,459,26.79
1990,HOUSTON,1630553,568,34.83
1991,HOUSTON,1665756,608,36.50
1992,HOUSTON,1695239,465,27.43
1993,HOUSTON,1724327,446,25.87
1994,HOUSTON,1758016,375,21.33
1995,HOUSTON,1734335,316,18.22
1996,HOUSTON,1772143,261,14.73
1997,HOUSTON,1801370,254,14.10
1998,HOUSTON,1797157,254,14.13
1999,HOUSTON,1812277,241,13.30
2000,HOUSTON,1953631,230,11.77
2001,HOUSTON,1997965,267,13.36
2002,HOUSTON,2040583,256,12.55
2003,HOUSTON,2041081,278,13.62
2004,HOUSTON,2043446,272,13.31
2005,HOUSTON,2045732,334,16.33
2006,HOUSTON,2073729,377,18.18
2007,HOUSTON,2169544,351,16.18
2008,HOUSTON,2238895,294,13.13
2009,HOUSTON,2273771,287,12.62
2010,HOUSTON,2099451,269,12.81
