YEAR,STATE,POPULATION,HOMICIDES,
1960,Alabama,3266740,406,
1961,Alabama,3302000,427,
1962,Alabama,3358000,316,
1963,Alabama,3347000,340,
1964,Alabama,3407000,316,
1965,Alabama,3462000,395,
1966,Alabama,3517000,384,
1967,Alabama,3540000,415,
1968,Alabama,3566000,421,
1969,Alabama,3531000,485,
1970,Alabama,3444165,404,
1971,Alabama,3479000,524,
1972,Alabama,3510000,496,
1973,Alabama,3539000,468,
1974,Alabama,3577000,536,
1975,Alabama,3614000,577,
1976,Alabama,3665000,553,
1977,Alabama,3690000,524,
1978,Alabama,3742000,499,
1979,Alabama,3769000,496,
1980,Alabama,3861466,509,
1981,Alabama,3916000,465,
1982,Alabama,3943000,417,
1983,Alabama,3959000,364,
1984,Alabama,3990000,374,
1985,Alabama,4021000,396,
1986,Alabama,4053000,409,
1987,Alabama,4083000,380,
1988,Alabama,4127000,408,
1989,Alabama,4118000,421,
1990,Alabama,4040587,467,
1991,Alabama,4089000,469,
1992,Alabama,4136000,455,
1993,Alabama,4187000,484,
1994,Alabama,4219000,501,
1995,Alabama,4253000,475,
1996,Alabama,4273000,444,
1997,Alabama,4319000,426,
1998,Alabama,4352000,354,
1999,Alabama,4369862,345,
2000,Alabama,4447100,329,
2001,Alabama,4468912,379,
2002,Alabama,4478896,303,
2003,Alabama,4503726,299,
2004,Alabama,4525375,254,
2005,Alabama,4548327,374,
2006,Alabama,4599030,368,
2007,Alabama,4627851,392,
2008,Alabama,4677464,357,
2009,Alabama,4708708,322,
2010,Alabama,4779736,273,
1960,Alaska,226167,23,
1961,Alaska,234000,27,
1962,Alaska,246000,11,
1963,Alaska,248000,16,
1964,Alaska,250000,26,
1965,Alaska,253000,16,
1966,Alaska,272000,35,
1967,Alaska,272000,26,
1968,Alaska,277000,29,
1969,Alaska,282000,30,
1970,Alaska,302173,37,
1971,Alaska,313000,42,
1972,Alaska,325000,31,
1973,Alaska,330000,33,
1974,Alaska,337000,46,
1975,Alaska,352000,43,
1976,Alaska,382000,43,
1977,Alaska,407000,44,
1978,Alaska,403000,52,
1979,Alaska,406000,54,
1980,Alaska,440142,39,
1981,Alaska,412000,60,
1982,Alaska,438000,81,
1983,Alaska,479000,66,
1984,Alaska,500000,58,
1985,Alaska,521000,51,
1986,Alaska,534000,46,
1987,Alaska,525000,53,
1988,Alaska,513000,29,
1989,Alaska,527000,42,
1990,Alaska,550043,41,
1991,Alaska,570000,42,
1992,Alaska,587000,44,
1993,Alaska,599000,54,
1994,Alaska,606000,38,
1995,Alaska,604000,55,
1996,Alaska,607000,45,
1997,Alaska,609000,54,
1998,Alaska,614000,41,
1999,Alaska,619500,52,
2000,Alaska,626932,27,
2001,Alaska,633630,39,
2002,Alaska,641482,33,
2003,Alaska,648280,39,
2004,Alaska,657755,37,
2005,Alaska,663253,32,
2006,Alaska,670053,36,
2007,Alaska,683478,44,
2008,Alaska,688125,27,
2009,Alaska,698473,22,
2010,Alaska,710231,31,
1960,Arizona,1302161,78,
1961,Arizona,1391000,84,
1962,Arizona,1509000,86,
1963,Arizona,1559000,93,
1964,Arizona,1581000,83,
1965,Arizona,1608000,80,
1966,Arizona,1618000,98,
1967,Arizona,1634000,91,
1968,Arizona,1670000,105,
1969,Arizona,1693000,102,
1970,Arizona,1772482,168,
1971,Arizona,1849000,124,
1972,Arizona,1945000,142,
1973,Arizona,2058000,167,
1974,Arizona,2153000,206,
1975,Arizona,2224000,191,
1976,Arizona,2270000,177,
1977,Arizona,2296000,217,
1978,Arizona,2354000,221,
1979,Arizona,2450000,219,
1980,Arizona,2715357,279,
1981,Arizona,2793000,227,
1982,Arizona,2860000,236,
1983,Arizona,2963000,213,
1984,Arizona,3053000,238,
1985,Arizona,3187000,254,
1986,Arizona,3317000,307,
1987,Arizona,3386000,253,
1988,Arizona,3466000,294,
1989,Arizona,3556000,237,
1990,Arizona,3665228,284,
1991,Arizona,3750000,291,
1992,Arizona,3832000,312,
1993,Arizona,3936000,339,
1994,Arizona,4075000,426,
1995,Arizona,4218000,439,
1996,Arizona,4428000,377,
1997,Arizona,4555000,375,
1998,Arizona,4669000,376,
1999,Arizona,4778332,384,
2000,Arizona,5130632,359,
2001,Arizona,5306966,400,
2002,Arizona,5441125,387,
2003,Arizona,5579222,441,
2004,Arizona,5739879,414,
2005,Arizona,5953007,445,
2006,Arizona,6166318,526,
2007,Arizona,6338755,549,
2008,Arizona,6499377,454,
2009,Arizona,6595778,380,
2010,Arizona,6392017,409,
1960,Arkansas,1786272,152,
1961,Arkansas,1797000,163,
1962,Arkansas,1823000,144,
1963,Arkansas,1858000,137,
1964,Arkansas,1933000,147,
1965,Arkansas,1960000,115,
1966,Arkansas,1955000,139,
1967,Arkansas,1968000,173,
1968,Arkansas,2012000,163,
1969,Arkansas,1995000,197,
1970,Arkansas,1923295,195,
1971,Arkansas,1944000,204,
1972,Arkansas,1978000,206,
1973,Arkansas,2037000,180,
1974,Arkansas,2062000,231,
1975,Arkansas,2116000,213,
1976,Arkansas,2109000,213,
1977,Arkansas,2144000,188,
1978,Arkansas,2186000,199,
1979,Arkansas,2180000,198,
1980,Arkansas,2284037,210,
1981,Arkansas,2294000,209,
1982,Arkansas,2291000,187,
1983,Arkansas,2328000,178,
1984,Arkansas,2349000,176,
1985,Arkansas,2359000,187,
1986,Arkansas,2372000,191,
1987,Arkansas,2388000,182,
1988,Arkansas,2422000,211,
1989,Arkansas,2406000,203,
1990,Arkansas,2350725,241,
1991,Arkansas,2372000,264,
1992,Arkansas,2399000,259,
1993,Arkansas,2424000,247,
1994,Arkansas,2453000,294,
1995,Arkansas,2484000,259,
1996,Arkansas,2510000,219,
1997,Arkansas,2523000,250,
1998,Arkansas,2538000,201,
1999,Arkansas,2551373,143,
2000,Arkansas,2673400,168,
2001,Arkansas,2694698,148,
2002,Arkansas,2706268,142,
2003,Arkansas,2727774,180,
2004,Arkansas,2750000,176,
2005,Arkansas,2775708,189,
2006,Arkansas,2810872,211,
2007,Arkansas,2834797,201,
2008,Arkansas,2867764,164,
2009,Arkansas,2889450,179,
2010,Arkansas,2915918,138,
1960,California,15717204,616,
1961,California,16397000,605,
1962,California,16970000,657,
1963,California,17590000,673,
1964,California,18084000,740,
1965,California,18602000,880,
1966,California,18918000,868,
1967,California,19153000,1039,
1968,California,19221000,1150,
1969,California,19443000,1386,
1970,California,19953134,1376,
1971,California,20223000,1642,
1972,California,20468000,1791,
1973,California,20601000,1862,
1974,California,20907000,1985,
1975,California,21185000,2209,
1976,California,21520000,2220,
1977,California,21896000,2515,
1978,California,22294000,2611,
1979,California,22696000,2952,
1980,California,23532680,3411,
1981,California,24159000,3143,
