State,Open Carry,Assault Rifles,Machine Guns,Stand Your Ground,Miscellaneous,Population,Recovery Rate,G&A Score,Percentage Gun Owners,Gun Owner Population
AK,10,10,10,8,10,731449,57.01254,48,0.578,422777.522
AL,7,10,10,10,10,4822023,75.46268,47,0.517,2492985.891
AR,6,10,10,5,10,2949131,26.4084,41,0.553,1630869.443
AZ,9,10,10,10,10,6553255,96.778,49,0.311,2038062.305
CA,2,1,0,6,0,38041430,36.7948,9,0.213,8102824.59
CO,8,9,10,6,5,5187582,24.87766,38,0.347,1800090.954
CT,6,2,2,7,3,3590347,15.1462,20,0.167,599587.949
DE,5,10,1,8,10,917092,52.55402,34,0.255,233858.46
FL,7,10,10,10,9,19317568,66.16066,46,0.245,4732804.16
GA,7,10,10,10,9,9919945,90.09496,46,0.403,3997737.835
HI,2,2,0,4,2,1392313,1.52644,10,0.067,93284.971
IA,7,10,0,8,10,3074186,22.36706,35,0.429,1318825.794
ID,8,10,10,2,10,1595728,33.44376,40,0.553,882437.584
IL,0,8,2,9,2,12875255,32.33418,21,0.202,2600801.51
IN,8,10,10,8,9,6537334,82.05348,45,0.391,2556097.594
KS,8,10,10,9,10,2885905,36.22718,47,0.421,1214966.005
KY,8,10,10,10,10,4380415,64.10456,48,0.477,2089457.955
LA,7,10,8,10,10,4601893,110.51118,45,0.441,2029434.813
MA,3,0,0,5,0,6646144,6.81762,8,0.126,837414.144
MD,4,3,8,5,1,5884563,52.94478,21,0.213,1253411.919
ME,7,10,10,5,10,1329192,27.18082,42,0.405,538322.76
MI,7,10,6,10,7,9883360,26.17916,40,0.384,3795210.24
MN,6,7,3,8,10,5379139,20.50798,34,0.417,2243100.963
MO,7,10,10,10,10,6021988,38.679,47,0.417,2511168.996
MS,7,10,10,8,10,2984926,79.45048,45,0.553,1650664.078
MT,8,10,10,10,8,1005141,27.34022,46,0.577,579966.357
NB,7,10,10,5,8,1855525,32.78674,40,0.386,716232.65
NC,7,10,10,9,9,9752073,76.25238,45,0.413,4027606.149
ND,7,10,8,8,10,699628,17.3307,43,0.507,354711.396
NH,8,10,10,10,9,1320718,20.9657,47,0.3,396215.4
NJ,2,1,2,2,0,8864590,6.10762,7,0.123,1090344.57
NM,5,10,10,5,9,2085538,40.06048,39,0.348,725767.224
NV,7,10,10,8,9,2758931,71.56324,44,0.338,932518.678
NY,3,1,0,3,0,19570261,9.81872,7,0.18,3522646.98
OH,7,7,10,7,9,11544225,61.4773,40,0.331,3821138.475
OK,7,10,4,10,10,3814820,37.717,41,0.429,1636557.78
OR,7,10,10,8,7,3899353,50.76882,42,0.398,1551942.494
PA,7,10,10,8,10,12763536,49.21352,45,0.347,4428946.992
RI,3,10,0,6,3,1050292,12.43104,22,0.128,134437.376
SC,7,10,10,10,9,4723723,65.10966,46,0.423,1998134.829
SD,8,10,10,4,10,833354,14.42504,42,0.566,471678.364
TN,7,10,10,10,7,6456243,52.76774,44,0.439,2834290.677
TX,7,10,10,9,9,26059203,41.92806,45,0.359,9355253.877
UT,8,10,10,10,10,2855287,22.94826,48,0.439,1253470.993
VA,8,8,8,10,10,8185867,78.19554,44,0.351,2873239.317
VT,10,10,10,9,10,626011,21.97796,49,0.42,262924.62
WA,6,10,3,10,5,6897012,33.03612,34,0.331,2282910.972
WI,7,10,8,10,7,5726398,34.73174,42,0.444,2542520.712
WV,8,10,10,8,9,1855413,66.08642,45,0.554,1027898.802
WY,10,10,10,7,10,576412,21.54382,47,0.597,344117.964
