Year,recovered-in,originated-in,Number
2011,Alabama,Alabama,1894
2011,Alabama,Alaska,0
2011,Alabama,Arizona,9
2011,Alabama,Arkansas,11
2011,Alabama,California,14
2011,Alabama,Colorado,0
2011,Alabama,Connecticut,0
2011,Alabama,Delaware,0
2011,Alabama,DC,0
2011,Alabama,Florida,53
2011,Alabama,Georgia,109
2011,Alabama,Idaho,0
2011,Alabama,Illinois,0
2011,Alabama,Indiana,0
2011,Alabama,Iowa,0
2011,Alabama,Kansas,0
2011,Alabama,Kentucky,22
2011,Alabama,Louisiana,15
2011,Alabama,Maine,0
2011,Alabama,Maryland,0
2011,Alabama,Massachusetts,0
2011,Alabama,Michigan,0
2011,Alabama,Minnesota,0
2011,Alabama,Mississippi,56
2011,Alabama,Missouri,0
2011,Alabama,Montana,0
2011,Alabama,Nebraska,0
2011,Alabama,Nevada,0
2011,Alabama,New Hampshire,0
2011,Alabama,New Jersey,0
2011,Alabama,New Mexico,0
2011,Alabama,New York,0
2011,Alabama,North Carolina,18
2011,Alabama,North Dakota,0
2011,Alabama,Ohio,0
2011,Alabama,Oklahoma,0
2011,Alabama,Oregon,0
2011,Alabama,Pennsylvania,13
2011,Alabama,Rhode Island,0
2011,Alabama,South Carolina,0
2011,Alabama,South Dakota,0
2011,Alabama,Tennessee,41
2011,Alabama,Texas,40
2011,Alabama,Utah,0
2011,Alabama,Vermont,0
2011,Alabama,Virginia,9
2011,Alabama,Washington,0
2011,Alabama,West Virginia,9
2011,Alabama,Wisconsin,0
2011,Alabama,Wyoming,0
2011,Alabama,Other,94
2011,Alaska,Alabama,0
2011,Alaska,Alaska,338
2011,Alaska,Arizona,6
2011,Alaska,Arkansas,0
2011,Alaska,California,8
2011,Alaska,Colorado,5
2011,Alaska,Connecticut,0
2011,Alaska,Delaware,0
2011,Alaska,DC,0
2011,Alaska,Florida,4
2011,Alaska,Georgia,0
2011,Alaska,Idaho,3
2011,Alaska,Illinois,3
2011,Alaska,Indiana,0
2011,Alaska,Iowa,0
2011,Alaska,Kansas,0
2011,Alaska,Kentucky,2
2011,Alaska,Louisiana,0
2011,Alaska,Maine,0
2011,Alaska,Maryland,0
2011,Alaska,Massachusetts,0
2011,Alaska,Michigan,10
2011,Alaska,Minnesota,4
2011,Alaska,Mississippi,4
2011,Alaska,Missouri,0
2011,Alaska,Montana,3
2011,Alaska,Nebraska,0
2011,Alaska,Nevada,2
2011,Alaska,New Hampshire,0
2011,Alaska,New Jersey,0
2011,Alaska,New Mexico,0
2011,Alaska,New York,0
2011,Alaska,North Carolina,2
2011,Alaska,North Dakota,0
2011,Alaska,Ohio,0
2011,Alaska,Oklahoma,5
2011,Alaska,Oregon,6
2011,Alaska,Pennsylvania,2
2011,Alaska,Rhode Island,0
2011,Alaska,South Carolina,0
2011,Alaska,South Dakota,0
2011,Alaska,Tennessee,0
2011,Alaska,Texas,2
2011,Alaska,Utah,2
2011,Alaska,Vermont,0
2011,Alaska,Virginia,0
2011,Alaska,Washington,11
2011,Alaska,West Virginia,0
2011,Alaska,Wisconsin,2
2011,Alaska,Wyoming,2
2011,Alaska,Other,15
2011,Arizona,Alabama,0
2011,Arizona,Alaska,0
2011,Arizona,Arizona,4571
2011,Arizona,Arkansas,0
2011,Arizona,California,222
2011,Arizona,Colorado,49
2011,Arizona,Connecticut,0
2011,Arizona,Delaware,0
2011,Arizona,DC,0
2011,Arizona,Florida,47
2011,Arizona,Georgia,35
2011,Arizona,Idaho,0
2011,Arizona,Illinois,33
2011,Arizona,Indiana,0
2011,Arizona,Iowa,0
2011,Arizona,Kansas,0
2011,Arizona,Kentucky,0
2011,Arizona,Louisiana,0
2011,Arizona,Maine,0
2011,Arizona,Maryland,0
2011,Arizona,Massachusetts,0
2011,Arizona,Michigan,38
2011,Arizona,Minnesota,0
2011,Arizona,Mississippi,0
2011,Arizona,Missouri,0
2011,Arizona,Montana,0
2011,Arizona,Nebraska,0
2011,Arizona,Nevada,58
2011,Arizona,New Hampshire,0
2011,Arizona,New Jersey,0
2011,Arizona,New Mexico,57
2011,Arizona,New York,0
2011,Arizona,North Carolina,0
2011,Arizona,North Dakota,0
2011,Arizona,Ohio,40
2011,Arizona,Oklahoma,43
2011,Arizona,Oregon,38
2011,Arizona,Pennsylvania,31
2011,Arizona,Rhode Island,0
2011,Arizona,South Carolina,0
2011,Arizona,South Dakota,0
2011,Arizona,Tennessee,0
2011,Arizona,Texas,96
2011,Arizona,Utah,0
2011,Arizona,Vermont,0
2011,Arizona,Virginia,0
2011,Arizona,Washington,47
2011,Arizona,West Virginia,0
2011,Arizona,Wisconsin,0
2011,Arizona,Wyoming,0
2011,Arizona,Other,376
2011,Arkansas,Alabama,0
2011,Arkansas,Alaska,0
2011,Arkansas,Arizona,3
2011,Arkansas,Arkansas,310
2011,Arkansas,California,2
2011,Arkansas,Colorado,2
2011,Arkansas,Connecticut,0
