YEAR,US_POPULATION,US_HOMICIDES,US_HOMICIDE_RATE,DC_POPULATION,DC_HOMICIDES,DC_HOMICIDE_RATE
1960,162540871,8642,5.3168,763956,81,10.6027
1961,165923956,8115,4.8908,763956,88,11.5190
1962,168418000,7893,4.6866,784000,91,11.6071
1963,170825000,7939,4.6474,798000,95,11.9048
1964,173419000,8536,4.9222,808000,132,16.3366
1965,193816000,9979,5.1487,803000,148,18.4309
1966,195857000,11054,5.6439,808000,141,17.4505
1967,197864000,12248,6.1901,809000,178,22.0025
1968,199860000,13824,6.9168,809000,195,24.1038
1969,201927000,14749,7.3041,798000,287,35.9649
1970,203184042,16006,7.8776,756510,221,29.2131
1971,206255000,17777,8.6189,741000,275,37.1120
1972,208234000,18685,8.9731,748000,245,32.7540
1973,209851000,19632,9.3552,746000,268,35.9249
1974,211392000,20711,9.7974,723000,277,38.3126
1975,213124000,20505,9.6212,716000,235,32.8212
1976,214658000,18784,8.7507,702000,188,26.7806
1977,216330000,19121,8.8388,690000,192,27.8261
1978,218065000,19555,8.9675,674000,189,28.0415
1979,220097000,21456,9.7484,656000,180,27.4390
1980,225389264,23044,10.2241,635233,200,31.4845
1981,229146000,22516,9.8260,636000,223,35.0629
1982,231535000,21012,9.0751,631000,194,30.7448
1983,233980000,19308,8.2520,623000,183,29.3740
1984,236161000,18689,7.9137,623000,175,28.0899
1985,238739000,18976,7.9484,626000,147,23.4824
1986,241058000,20613,8.5511,626000,194,30.9904
1987,243399000,20096,8.2564,622000,225,36.1736
1988,245810000,20675,8.4110,620000,369,59.5161
1989,248243000,21500,8.6609,604000,434,71.8543
1990,248709873,23438,9.4238,606900,472,77.7723
1991,252181000,24703,9.7957,598000,482,80.6020
1992,255081000,23760,9.3147,589000,443,75.2122
1993,257904000,24526,9.5097,578000,454,78.5467
1994,260341000,23326,8.9598,570000,399,70.0000
1995,262754000,21606,8.2229,554000,360,64.9819
1996,265284000,19645,7.4053,543000,397,73.1123
1997,267637000,18211,6.8044,529000,301,56.8998
1998,270296000,16974,6.2798,523000,260,49.7132
1999,272690813,15522,5.6922,519000,241,46.4355
2000,281421906,15586,5.5383,572059,239,41.7789
2001,285317559,16037,5.6208,573822,231,40.2564
2002,287973924,16229,5.6356,569157,264,46.3844
2003,290788976,16528,5.6838,557620,249,44.6541
2004,293656842,16148,5.4989,554239,198,35.7247
2005,296507061,16740,5.6457,582049,195,33.5023
2006,299398484,17318,5.7843,581530,169,29.0613
2007,301621157,17157,5.6883,588292,181,30.7670
2008,304374846,16442,5.4019,590074,186,31.5215
2009,307006550,15399,5.0159,599657,145,24.1805
2010,308745538,14748,4.7767,601723,132,21.9370
