Year,State,Homicides/100K,Total Traced,Locally Sourced,% Local,Sourced Per Capita,Dest per Capita,Ratio,Percentile
2008,AK,3.9,366,315,86.10%,53.33,53.19,0.997,70%
2008,AL,7.6,3734,3066,82.10%,97.15,79.83,0.822,96%
2008,AR,5.7,387,276,71.30%,28.11,13.49,0.48,38%
2008,AZ,7,6927,5612,81.00%,106.95,106.58,0.997,98%
2008,CA,5.9,15766,11492,72.90%,36.13,43.1,1.193,54%
2008,CO,3.2,1248,821,65.80%,23.2,25.29,1.09,32%
2008,CT,3.8,779,478,61.40%,16.27,22.24,1.367,18%
2008,DC,31.4,1132,30,2.70%,5.08,191.84,37.733,2%
2008,DE,6.5,621,361,58.10%,52.04,70.87,1.362,68%
2008,FL,6.3,12205,9570,78.40%,65.11,66.25,1.018,76%
2008,GA,6.7,7418,5683,76.60%,88.01,76.49,0.869,92%
2008,HI,2,43,15,34.90%,1.17,3.34,2.867,0%
2008,IA,2.6,709,456,64.30%,21.24,23.68,1.115,26%
2008,ID,1.5,411,256,62.30%,29.98,26.91,0.897,40%
2008,IL,6.2,6536,3300,50.50%,30.07,50.89,1.692,42%
2008,IN,5,4746,3961,83.50%,90.74,74.29,0.819,94%
2008,KS,4,944,649,68.80%,31.74,33.75,1.063,44%
2008,KY,4.7,2443,1781,72.90%,68.38,56.97,0.833,80%
2008,LA,12.2,5682,4651,81.90%,123.13,127.64,1.037,100%
2008,MA,2.6,890,290,32.60%,5.56,13.6,2.445,4%
2008,MD,8.7,4209,2335,55.50%,50.29,74.38,1.479,66%
2008,ME,2.3,258,198,76.70%,25.31,19.55,0.772,34%
2008,MI,5.5,3564,2317,65.00%,27.3,35.63,1.305,36%
2008,MN,2.1,1353,912,67.40%,19.08,25.87,1.356,20%
2008,MO,7.7,2629,1643,62.50%,33.16,44.14,1.331,46%
2008,MS,8,1397,1041,74.50%,86.05,47.51,0.552,90%
2008,MT,3.4,211,142,67.30%,22.11,21.8,0.986,28%
2008,NB,3.9,905,592,65.40%,36.42,50.79,1.394,58%
2008,NC,6.5,8394,5898,70.30%,82.59,90.77,1.099,86%
2008,ND,0.8,152,110,72.40%,22.45,23.7,1.056,30%
2008,NH,1.1,164,98,59.80%,15.89,12.41,0.781,16%
2008,NJ,4.3,2069,488,23.60%,6.3,23.88,3.789,6%
2008,NM,7.5,707,510,72.10%,36.09,35.59,0.986,52%
2008,NV,6.3,2191,1380,63.00%,76.96,83.76,1.088,84%
2008,NY,4.3,5407,1663,30.80%,10.23,27.77,2.714,10%
2008,OH,4.8,6925,5497,79.40%,62.72,60.07,0.958,74%
2008,OK,5.8,1222,917,75.00%,36.33,33.53,0.923,56%
2008,OR,2.2,1776,1316,74.10%,48.37,46.95,0.97,62%
2008,PA,5.6,5866,4661,79.50%,49.26,46.68,0.948,64%
2008,RI,2.9,171,103,60.20%,12.15,16.23,1.336,12%
2008,SC,6.8,1933,1382,71.50%,62.42,42.92,0.688,72%
2008,SD,4.6,121,69,57.00%,9.57,15.04,1.571,8%
2008,TN,6.6,5029,3327,66.20%,70.17,80.59,1.148,82%
2008,TX,5.6,10365,8423,81.30%,44.26,42.65,0.964,60%
2008,UT,1.5,524,380,72.50%,20.5,19.21,0.937,24%
2008,VA,4.7,5166,4102,79.40%,84.83,66.27,0.781,88%
2008,VT,2.7,111,80,72.10%,20.13,17.87,0.888,22%
2008,WA,2.9,2536,1793,70.70%,35.33,38.62,1.093,48%
2008,WI,2.6,2207,1712,77.60%,35.82,39.22,1.095,50%
2008,WV,3.7,566,405,71.60%,66.67,31.19,0.468,78%
2008,WY,2.3,109,47,43.10%,14.26,20.45,1.434,14%
2009,AK,3.1,746,303,40.60%,52.69,106.8,2.027,72%
2009,AL,6.8,2891,2272,78.60%,74.99,61.4,0.819,86%
2009,AR,6.2,397,288,72.50%,24.88,13.74,0.552,36%
2009,AZ,5.8,6108,4997,81.80%,95.24,92.6,0.972,98%
2009,CA,5.3,16229,11767,72.50%,36.43,43.91,1.205,54%
2009,CO,3.2,1066,719,67.40%,22.23,21.21,0.954,28%
2009,CT,3,755,462,61.20%,15.97,21.46,1.343,16%
2009,DC,24.2,996,18,1.80%,3,166.09,55.334,2%
2009,DE,4.6,510,299,58.60%,46.66,57.62,1.235,66%
2009,FL,5.5,12344,9689,78.50%,65.18,66.59,1.022,80%
2009,GA,5.8,7505,5788,77.10%,86.84,76.35,0.879,96%
2009,HI,1.8,22,9,40.90%,0.69,1.7,2.445,0%
2009,IA,1.3,659,414,62.80%,19.12,21.91,1.146,22%
2009,ID,1.6,346,222,64.20%,26.59,22.38,0.842,38%
2009,IL,6,7198,3555,49.40%,31.69,55.75,1.759,48%
2009,IN,4.9,4304,3644,84.70%,84.16,67.01,0.796,94%
2009,KS,4.4,784,536,68.40%,28.35,27.81,0.981,42%
2009,KY,4.3,2167,1601,73.90%,66.48,50.23,0.756,82%
2009,LA,11.8,5535,4516,81.60%,118.19,123.22,1.043,100%
2009,MA,2.6,1084,395,36.40%,6.89,16.44,2.388,4%
2009,MD,7.7,3993,2286,57.30%,48.2,70.06,1.454,68%
